Battery_Voltage_(Lead-acid)_(V),Motor_Temperature,Motor_RPM,Range_(km),Tyre_Pressure_(psi),Brake_Fluid_(%),Coolant_Level_(%),Lubricant_Level_(%),Maintenance_Needed_(Area)
12.45,76.51,2978,294,34.06,72,64,89,Motor and Tyres
12.1,82.75,3014,294,30.52,65,65,78,Motor and Lubrication
12.6,77.79,3292,273,33.48,64,69,85,Brake System and Lubrication
12.47,76.93,3017,284,30.1,68,64,80,No Maintenance Required
12.75,77.93,2926,278,33.77,78,71,89,Motor and Tyres
12.29,79.93,3267,289,31.87,74,64,90,Brake System and Lubrication
12.42,78.27,2984,288,34.09,80,65,83,Tyres and Brake System
12.2,85.0,3070,260,36.61,71,64,83,Motor and Lubrication
12.2,80.69,2911,265,36.73,66,72,87,Tyres and Lubrication
12.51,80.73,2913,290,31.09,63,63,84,Tyres and Brake System
12.21,80.24,3144,266,34.04,65,71,83,Brake System and Lubrication
12.34,81.5,2821,299,36.01,66,73,88,Motor and Tyres
12.45,81.09,2802,271,31.02,79,62,87,Brake System and Lubrication
12.57,80.04,2970,275,34.53,70,62,78,Motor and Lubrication
12.68,77.08,2945,271,30.57,62,62,88,Tyres
12.54,76.69,2857,254,32.12,75,65,79,Tyres
12.47,79.43,3069,291,33.72,73,65,80,Motor and Lubrication
12.62,76.67,3277,270,31.88,71,72,81,Motor and Lubrication
12.66,83.71,2937,264,34.8,71,63,79,Battery
12.83,75.77,3168,254,32.44,71,75,82,Tyres and Brake System
12.89,75.27,2963,266,31.32,67,68,88,No Maintenance Required
12.57,79.31,2900,255,33.83,62,69,81,Brake System and Lubrication
12.3,79.8,3207,277,34.41,66,64,88,Battery
12.41,78.79,3032,294,32.98,67,64,78,Motor and Tyres
12.84,82.9,3213,277,34.32,80,63,87,Tyres
12.67,78.82,3115,294,35.02,68,60,81,Battery
12.78,77.63,2880,290,36.89,75,69,88,Tyres
12.13,77.2,3049,298,33.49,69,65,85,Brake System and Lubrication
12.79,84.91,3169,289,31.32,66,63,78,Tyres and Brake System
12.85,82.9,3291,296,30.48,70,66,81,Battery
12.59,83.28,3008,279,33.2,78,63,89,Tyres and Lubrication
12.18,78.04,2977,262,33.19,80,73,84,Tyres and Lubrication
12.12,84.68,3025,282,36.37,61,61,88,Motor and Tyres
12.47,75.24,2811,287,32.99,70,74,83,Tyres and Brake System
12.62,77.22,3144,274,31.1,74,71,88,Motor and Tyres
12.55,78.13,2810,295,31.16,66,64,84,Motor and Lubrication
12.46,75.76,2873,267,32.69,71,68,80,Tyres and Lubrication
12.36,83.28,2855,252,34.25,64,66,90,Motor and Tyres
12.23,75.99,2868,279,32.31,72,68,78,No Maintenance Required
12.85,83.28,3128,260,30.15,70,74,79,Tyres and Brake System
12.29,78.26,2810,278,30.87,64,62,85,Tyres and Lubrication
12.83,82.27,3195,276,35.85,70,73,79,Battery
12.47,82.44,3181,270,32.19,80,75,88,No Maintenance Required
12.37,79.26,3193,295,35.19,75,69,81,Tyres and Lubrication
12.38,77.79,3295,276,36.21,61,66,81,Battery
12.12,79.39,2830,270,32.11,65,60,84,No Maintenance Required
12.67,83.38,2959,268,31.75,71,72,86,Motor and Tyres
12.13,84.06,3188,269,31.72,76,63,84,Battery
12.89,82.79,3130,265,34.61,72,64,81,Battery
12.61,83.67,2859,266,33.32,71,73,89,Brake System and Lubrication
12.48,83.28,2856,262,35.61,77,70,86,Motor and Tyres
12.89,78.66,3215,271,30.7,63,62,87,Motor and Lubrication
12.8,75.54,3242,257,30.07,60,69,84,Motor and Tyres
12.88,79.76,2928,273,30.15,63,68,79,Battery
12.9,82.88,3276,260,32.85,66,72,81,No Maintenance Required
12.13,77.95,3292,264,33.69,79,62,86,Tyres and Lubrication
12.19,82.67,3103,281,36.96,73,61,82,Tyres
12.26,83.09,2947,296,30.03,78,65,84,No Maintenance Required
12.45,77.15,2983,262,33.33,67,62,79,Motor and Tyres
12.23,80.94,3024,282,32.23,60,65,86,Tyres and Brake System
12.27,81.68,2909,269,30.57,79,68,78,Motor and Tyres
12.36,81.08,3145,265,31.01,63,69,82,Tyres
12.81,81.38,2959,271,35.04,64,66,80,Tyres and Brake System
12.47,81.05,3270,279,36.18,68,75,81,Tyres
12.41,76.88,3294,262,31.78,74,74,80,Tyres
12.16,79.63,2959,283,36.93,71,65,89,Motor and Tyres
12.81,83.53,2977,266,36.34,60,65,80,Motor and Tyres
12.51,75.02,3151,284,35.75,80,62,85,No Maintenance Required
12.41,75.74,3111,258,34.91,70,69,89,Battery
12.52,77.82,3237,267,31.15,60,63,78,Motor and Lubrication
12.53,78.69,2945,261,35.9,78,67,88,Tyres and Brake System
12.38,84.12,2965,294,30.64,73,72,86,Motor and Lubrication
12.25,81.85,2947,273,30.53,65,63,90,Tyres and Brake System
12.79,79.3,2831,293,36.5,70,64,85,Tyres and Lubrication
12.33,75.63,3031,257,31.77,64,66,87,Tyres and Brake System
12.43,78.15,3044,299,34.79,64,64,85,No Maintenance Required
12.24,83.84,3138,282,32.82,76,63,84,Tyres
12.84,80.84,3195,280,33.11,79,73,90,Battery
12.66,78.78,2971,259,35.54,68,66,87,Motor and Lubrication
12.57,78.81,2893,281,34.85,72,70,84,Tyres
12.74,77.55,3203,271,30.42,70,65,88,Motor and Tyres
12.33,84.82,2990,252,31.08,79,75,82,Tyres and Lubrication
12.53,79.27,3118,300,35.83,79,60,80,Brake System and Lubrication
12.86,77.61,3114,298,34.03,79,60,87,Motor and Tyres
12.75,80.36,3091,270,30.91,61,69,84,Motor and Lubrication
12.75,82.14,2989,266,36.16,67,69,81,Motor and Lubrication
12.48,82.11,3105,265,36.76,61,60,87,Brake System and Lubrication
12.87,75.58,3171,269,32.69,80,63,85,Tyres
12.32,82.02,2971,267,31.03,79,70,79,Tyres and Lubrication
12.7,79.55,3246,282,34.21,62,69,86,Motor and Tyres
12.19,84.27,3261,261,36.3,80,69,83,Brake System and Lubrication
12.68,83.23,2973,254,34.68,79,74,82,Battery
12.56,76.15,2974,256,33.09,78,70,83,Tyres and Brake System
12.52,79.81,2917,256,34.5,60,63,79,No Maintenance Required
12.51,81.38,3143,275,33.34,69,70,79,Tyres
12.49,84.88,3007,286,30.99,62,75,86,Tyres and Lubrication
12.82,75.66,3160,264,30.1,61,68,90,Brake System and Lubrication
12.54,76.92,3122,282,33.82,77,65,87,Motor and Lubrication
12.71,82.76,3095,288,30.83,79,63,88,Tyres and Lubrication
12.37,79.74,3242,268,32.11,77,60,87,Motor and Lubrication
12.69,84.07,3284,282,36.97,68,70,89,Brake System and Lubrication
12.6,83.02,2927,257,31.5,63,62,79,Battery
12.62,84.1,3136,284,35.11,65,75,90,Brake System and Lubrication
12.13,83.23,2941,263,36.2,65,62,90,Battery
12.19,84.95,3214,269,36.62,79,70,87,Tyres and Brake System
12.51,75.63,3026,298,33.65,71,73,85,No Maintenance Required
12.62,79.77,2891,261,33.53,78,63,82,Tyres and Brake System
12.33,84.04,3287,274,35.16,71,64,84,Brake System and Lubrication
12.72,75.77,3096,254,36.4,70,65,89,Motor and Lubrication
12.23,78.22,3249,298,33.69,76,60,78,Motor and Lubrication
12.64,76.98,2890,279,34.38,62,71,79,Tyres and Lubrication
12.42,84.41,3150,279,32.28,63,68,78,Tyres
12.46,76.78,2853,257,34.42,67,75,88,Battery
12.65,79.2,3285,288,31.41,67,67,90,Tyres and Lubrication
12.11,76.56,2850,256,34.69,80,63,86,Tyres
12.74,77.42,2969,281,33.5,70,61,80,No Maintenance Required
12.27,78.83,2982,290,33.92,73,75,78,Tyres
12.79,79.25,3075,270,33.7,64,67,87,Tyres and Brake System
12.28,82.87,2881,253,33.51,62,75,81,Brake System and Lubrication
12.42,78.01,3135,277,35.54,77,74,78,Tyres
12.5,75.68,3271,253,31.64,72,62,78,Motor and Tyres
12.35,75.44,2855,252,33.32,67,68,90,Tyres and Brake System
12.18,75.79,3159,281,35.78,75,71,90,Tyres and Brake System
12.26,83.52,3290,284,32.41,78,67,86,Motor and Tyres
12.27,83.42,2843,270,31.73,71,70,86,Brake System and Lubrication
12.2,82.3,3156,250,35.62,75,74,80,Tyres and Brake System
12.17,84.55,3249,271,33.13,72,67,86,No Maintenance Required
12.8,77.06,3147,295,34.87,63,66,87,Motor and Lubrication
12.22,75.6,3038,252,36.02,77,60,79,Tyres and Brake System
12.37,83.74,3181,299,32.21,67,69,79,Brake System and Lubrication
12.65,76.17,3238,257,34.78,65,75,78,Brake System and Lubrication
12.74,83.49,3090,281,34.76,79,69,90,Tyres
12.48,79.86,3140,269,30.59,79,60,83,Brake System and Lubrication
12.22,84.77,3265,270,33.58,67,72,85,No Maintenance Required
12.57,78.86,2951,270,32.45,65,70,81,No Maintenance Required
12.61,78.51,3253,250,30.25,62,67,81,Motor and Lubrication
12.61,83.42,2953,295,34.01,78,66,82,Tyres
12.37,80.77,3082,251,32.96,69,60,86,No Maintenance Required
12.37,83.12,3229,254,34.27,74,75,90,Motor and Tyres
12.62,84.7,2850,265,32.71,72,73,83,Motor and Lubrication
12.5,80.65,2864,293,34.62,75,75,87,Motor and Tyres
12.14,76.34,2877,286,31.47,61,75,78,Motor and Tyres
12.25,76.8,2849,256,32.91,71,68,86,Tyres and Brake System
12.61,84.92,3081,277,33.62,63,62,79,Tyres and Lubrication
12.12,84.14,2883,252,33.34,79,63,90,Motor and Lubrication
12.44,78.3,3073,254,34.36,73,65,83,Motor and Tyres
12.16,79.08,3188,283,32.22,62,65,82,Motor and Lubrication
12.89,83.79,3275,266,36.59,60,68,90,Motor and Lubrication
12.33,78.23,3193,251,30.21,64,65,89,Battery
12.88,79.43,3042,293,30.78,80,75,84,Tyres and Lubrication
12.45,79.36,3182,291,31.96,77,71,86,Motor and Lubrication
12.77,76.1,2996,286,34.37,72,73,86,Brake System and Lubrication
12.13,83.93,3262,261,33.03,61,67,85,Tyres
12.13,75.72,2964,286,30.7,71,72,80,Tyres and Brake System
12.37,82.57,2974,284,36.71,77,74,90,Tyres
12.43,83.48,2831,254,31.26,67,65,82,No Maintenance Required
12.75,81.23,3036,281,34.37,76,69,81,Brake System and Lubrication
12.32,80.14,2908,277,35.26,71,71,87,Battery
12.73,84.18,3112,300,32.0,63,69,86,Tyres and Brake System
12.77,84.68,2953,289,33.61,63,74,86,Tyres and Brake System
12.28,76.09,3077,281,30.15,75,73,86,Battery
12.81,76.04,3115,285,32.91,64,66,79,Motor and Tyres
12.7,76.04,2954,261,34.69,68,66,79,No Maintenance Required
12.86,83.76,3215,294,31.58,61,66,86,Motor and Lubrication
12.26,78.72,3263,255,33.09,64,66,80,Tyres and Lubrication
12.32,76.11,3122,276,31.93,74,75,87,Battery
12.38,77.7,2863,300,30.6,72,72,79,Motor and Tyres
12.34,75.61,3006,251,36.13,76,75,79,Brake System and Lubrication
12.57,82.67,2941,252,30.55,79,74,78,Tyres and Lubrication
12.75,82.44,2971,259,31.64,75,62,85,Brake System and Lubrication
12.32,79.27,2840,287,34.24,68,68,90,Tyres and Lubrication
12.56,83.52,2813,254,30.59,68,63,83,Motor and Tyres
12.8,83.72,3253,277,30.87,72,64,84,Tyres and Brake System
12.48,75.04,3193,277,35.68,65,62,81,Brake System and Lubrication
12.45,82.87,3020,255,34.2,63,73,89,Tyres and Brake System
12.69,83.15,2821,260,36.82,62,72,79,Battery
12.34,75.56,3198,298,36.74,74,72,80,Motor and Lubrication
12.29,76.92,3011,262,35.45,68,73,90,Tyres
12.65,82.02,3050,290,36.71,60,68,87,Brake System and Lubrication
12.73,81.46,2803,270,31.11,65,60,80,No Maintenance Required
12.23,77.73,2988,265,33.92,79,60,89,Battery
12.64,83.55,2965,263,34.34,72,71,89,Tyres and Lubrication
12.11,80.41,2942,291,32.2,60,75,87,Motor and Lubrication
12.73,79.71,2929,263,35.54,68,73,78,Tyres and Brake System
12.83,81.63,2910,293,35.91,71,70,89,Brake System and Lubrication
12.26,81.54,3161,267,34.39,80,66,90,Tyres and Lubrication
12.83,82.7,2974,263,30.2,70,74,78,No Maintenance Required
12.52,75.45,3099,274,30.6,65,74,87,Tyres and Brake System
12.1,80.92,2951,266,34.94,77,64,83,Tyres and Lubrication
12.56,75.65,2836,268,31.54,80,63,87,Tyres and Lubrication
12.14,81.68,2948,298,36.34,74,74,88,Tyres and Brake System
12.33,79.29,3060,251,33.03,79,73,81,Brake System and Lubrication
12.4,79.99,3284,294,35.97,66,61,80,Tyres
12.1,77.88,3167,254,30.53,62,65,82,Tyres and Brake System
12.77,84.48,2984,270,33.7,74,61,87,Motor and Lubrication
12.63,79.21,3197,299,35.31,60,61,83,Tyres and Lubrication
12.51,80.72,3054,253,31.0,69,67,89,Battery
12.65,75.03,3090,288,35.05,66,71,80,Tyres and Lubrication
12.73,82.36,3218,262,34.2,67,61,90,Motor and Tyres
12.65,77.52,2840,298,33.41,78,66,83,No Maintenance Required
12.62,79.56,3205,299,36.91,69,64,86,Tyres and Lubrication
12.88,84.95,3184,272,36.8,75,66,87,Motor and Lubrication
12.7,84.37,3206,293,33.78,76,69,79,Tyres and Lubrication
12.82,80.95,3289,284,30.32,62,70,83,Tyres and Lubrication
12.33,75.73,2961,252,33.15,68,68,78,Brake System and Lubrication
12.18,84.79,3168,293,33.18,63,71,83,Motor and Lubrication
12.25,79.96,3095,291,31.91,77,69,87,Tyres
12.74,78.55,2892,297,36.5,60,60,80,Tyres
12.4,80.29,2870,260,31.81,63,64,81,Tyres and Lubrication
12.81,77.73,3088,275,32.1,77,72,78,Tyres and Brake System
12.25,79.01,2952,291,32.53,68,74,89,Motor and Lubrication
12.62,80.58,3136,273,30.65,77,66,83,Tyres and Brake System
12.76,76.15,3238,268,32.41,80,75,85,Brake System and Lubrication
12.8,75.93,3249,256,34.83,77,61,78,Battery
12.67,78.7,3272,277,35.35,73,63,86,Tyres and Lubrication
12.52,76.91,2966,258,35.02,76,67,90,Tyres and Lubrication
12.69,77.22,3300,295,30.73,71,64,83,Motor and Lubrication
12.8,80.72,3224,266,34.91,62,70,89,Motor and Tyres
12.27,75.3,3291,255,31.28,68,73,82,Tyres and Lubrication
12.62,77.73,2988,297,31.11,62,66,80,No Maintenance Required
12.63,76.47,3115,262,36.16,77,67,89,No Maintenance Required
12.88,82.92,2868,288,35.65,77,70,81,Battery
12.31,77.46,3096,269,32.61,62,69,84,Brake System and Lubrication
12.66,76.4,3263,291,30.48,71,65,88,Tyres
12.45,79.14,2961,254,33.35,71,62,82,Motor and Tyres
12.45,75.78,3203,268,33.67,69,72,84,Tyres and Lubrication
12.45,79.46,3242,260,35.29,60,64,79,Battery
12.86,82.68,2983,259,36.02,78,67,86,Tyres
12.74,83.26,3133,272,32.16,71,62,80,Tyres and Lubrication
12.37,83.13,2891,265,35.73,78,72,79,Motor and Tyres
12.52,78.73,2990,290,32.14,67,71,84,Brake System and Lubrication
12.82,76.05,2851,286,36.78,73,75,86,Battery
12.24,77.59,3195,267,31.56,75,64,86,Brake System and Lubrication
12.16,75.47,3187,296,32.02,66,67,86,Motor and Lubrication
12.13,76.09,2834,260,32.13,66,65,86,Motor and Tyres
12.72,79.72,3277,259,33.13,74,65,84,Battery
12.61,80.65,2823,282,35.21,77,65,78,Tyres
12.57,77.23,2987,285,32.34,64,64,78,Brake System and Lubrication
12.35,77.26,2850,251,33.31,74,66,90,Brake System and Lubrication
12.66,81.58,2930,288,36.39,73,74,80,Battery
12.59,76.12,2963,286,31.47,75,67,86,Tyres and Lubrication
12.61,82.45,3172,298,30.67,69,60,80,No Maintenance Required
12.23,75.6,3090,263,33.69,68,62,79,Motor and Tyres
12.15,80.63,3008,298,32.53,67,64,87,Brake System and Lubrication
12.89,76.42,3114,260,30.63,64,64,90,Brake System and Lubrication
12.31,77.45,3213,266,31.74,73,62,82,Tyres
12.17,84.33,2965,262,35.98,68,70,86,Brake System and Lubrication
12.24,82.69,3204,276,35.5,62,63,80,Tyres and Brake System
12.86,80.29,3231,256,34.26,60,71,80,Tyres
12.85,83.53,3049,269,33.7,75,69,89,Tyres and Lubrication
12.88,82.05,3015,297,32.96,66,70,78,Tyres and Lubrication
12.82,75.79,3211,300,35.59,76,67,81,Tyres and Lubrication
12.17,81.76,3183,289,35.93,75,70,85,Motor and Lubrication
12.73,76.28,3162,273,33.37,68,68,90,Brake System and Lubrication
12.44,80.22,3253,290,34.12,67,61,85,Motor and Tyres
12.14,84.88,3031,286,35.9,62,71,82,No Maintenance Required
12.34,84.06,3263,273,31.2,71,60,82,Battery
12.41,80.09,3047,254,36.0,67,74,78,No Maintenance Required
12.15,81.71,3195,268,33.92,73,74,83,Tyres and Lubrication
12.66,76.14,3053,283,30.45,64,64,89,Battery
12.47,82.5,3026,287,30.1,71,63,81,Brake System and Lubrication
12.65,83.47,3051,280,34.23,73,60,78,No Maintenance Required
12.73,83.97,2960,272,35.43,76,69,79,Motor and Lubrication
12.61,82.3,3090,272,35.35,60,65,87,Motor and Lubrication
12.13,78.06,3132,278,34.15,67,62,88,No Maintenance Required
12.21,80.84,2881,256,34.14,64,68,89,Motor and Tyres
12.72,82.18,3060,256,36.22,78,72,82,Brake System and Lubrication
12.73,81.45,2973,289,32.83,80,68,82,Tyres and Brake System
12.34,84.68,2802,257,30.85,76,70,80,Tyres
12.31,79.18,3170,270,31.68,69,62,90,Battery
12.64,84.4,2994,277,33.81,79,67,80,No Maintenance Required
12.71,75.89,3257,275,35.92,75,72,89,Motor and Lubrication
12.42,78.63,3003,265,33.76,71,65,89,Motor and Lubrication
12.17,77.87,3056,265,31.4,66,60,86,Battery
12.38,83.39,3230,274,31.76,67,73,82,Tyres and Lubrication
12.1,78.02,3136,270,31.39,63,64,86,Battery
12.17,79.4,3252,285,31.56,73,64,81,Tyres
12.47,77.35,3290,298,30.42,80,61,80,Motor and Tyres
12.8,76.28,2925,283,34.51,79,60,83,Brake System and Lubrication
12.43,77.33,3156,288,34.77,74,69,84,No Maintenance Required
12.11,84.48,3205,296,34.28,73,62,79,Battery
12.14,83.2,3068,294,31.99,78,71,86,No Maintenance Required
12.14,83.98,3264,294,32.92,71,62,84,Tyres and Brake System
12.49,76.0,2933,266,36.2,70,71,84,Motor and Tyres
12.11,82.06,3217,250,33.52,73,75,80,Motor and Tyres
12.34,79.42,2877,253,30.19,66,72,86,Brake System and Lubrication
12.66,75.51,3131,281,35.15,75,65,85,Brake System and Lubrication
12.2,79.86,2935,273,33.84,72,72,82,No Maintenance Required
12.17,76.93,2924,286,33.36,65,68,82,Battery
12.15,79.15,2917,299,33.58,71,60,81,Tyres and Lubrication
12.43,79.92,3014,266,32.6,69,61,80,Brake System and Lubrication
12.79,80.65,3204,256,30.7,73,67,85,Motor and Tyres
12.74,76.35,2945,257,32.51,62,61,86,Tyres and Brake System
12.15,76.57,2998,258,35.01,74,63,80,Battery
12.37,75.56,3011,268,34.81,77,60,80,Tyres and Brake System
12.74,75.71,2846,293,34.91,70,72,79,No Maintenance Required
12.5,75.07,2860,256,32.17,72,62,89,Battery
12.41,79.41,3162,299,35.5,74,68,80,Motor and Lubrication
12.84,79.75,2904,285,33.76,62,73,90,Battery
12.56,83.02,3220,279,35.33,67,62,87,Tyres and Lubrication
12.11,82.65,2999,293,31.49,68,70,83,Tyres and Lubrication
12.43,80.15,3297,270,32.47,69,69,82,Tyres and Brake System
12.27,80.52,2870,282,34.67,69,68,87,Motor and Lubrication
12.1,83.26,2962,291,30.16,65,73,86,Brake System and Lubrication
12.76,76.66,2832,296,33.78,65,61,88,Tyres and Brake System
12.36,78.97,2805,296,34.41,63,64,85,Motor and Lubrication
12.69,75.67,3021,297,37.0,70,69,85,Tyres
12.85,76.8,3226,299,35.63,74,62,86,Tyres
12.85,75.43,2992,270,36.42,64,61,90,Tyres and Brake System
12.52,81.73,2845,276,34.32,69,60,79,Brake System and Lubrication
12.47,82.27,3238,261,33.59,60,73,88,Tyres and Brake System
12.38,81.47,2872,286,30.52,64,69,80,Motor and Tyres
12.6,77.33,3297,268,32.3,73,61,78,Brake System and Lubrication
12.65,77.8,2811,286,32.98,62,64,78,Tyres and Lubrication
12.77,78.86,3007,274,35.05,61,71,83,Motor and Tyres
12.66,84.12,2930,261,36.63,72,72,89,Brake System and Lubrication
12.53,79.31,3160,300,33.76,61,65,88,Battery
12.4,77.69,3157,270,31.2,80,68,89,Motor and Tyres
12.51,75.4,3268,296,30.33,61,62,86,Tyres and Lubrication
12.36,75.84,3052,285,32.61,71,68,83,Battery
12.26,79.91,2881,254,35.59,63,64,89,Tyres and Lubrication
12.72,80.51,2814,273,33.38,65,69,87,Motor and Tyres
12.6,79.18,3089,265,35.76,75,69,84,Motor and Lubrication
12.58,82.84,2976,258,32.91,69,73,86,No Maintenance Required
12.67,82.34,3090,287,33.08,80,72,81,Tyres and Lubrication
12.87,75.17,3167,282,36.88,70,74,78,Tyres and Lubrication
12.66,79.71,3128,284,31.54,61,68,88,Tyres
12.86,79.21,3244,285,34.28,78,73,86,Tyres and Lubrication
12.43,77.91,2905,270,33.95,75,64,80,Motor and Tyres
12.28,78.95,3129,273,34.04,80,66,84,Brake System and Lubrication
12.1,78.13,3001,267,32.86,63,66,79,Motor and Tyres
12.47,81.51,2871,268,32.8,72,66,83,No Maintenance Required
12.84,80.08,3059,270,31.11,62,61,81,Motor and Tyres
12.89,82.0,3284,255,30.74,63,64,89,Tyres and Brake System
12.76,75.34,3002,255,34.51,61,75,79,Tyres and Lubrication
12.5,82.12,2882,274,34.27,66,66,83,Brake System and Lubrication
12.5,76.4,2850,293,30.9,75,75,86,Motor and Tyres
12.21,79.79,3040,253,36.42,80,61,86,Motor and Lubrication
12.13,79.19,2851,269,30.77,72,66,83,Brake System and Lubrication
12.25,77.56,3064,267,30.82,66,64,89,Motor and Lubrication
12.32,79.13,2960,297,34.33,67,60,88,Motor and Tyres
12.45,81.8,3055,252,32.68,63,60,78,No Maintenance Required
12.56,80.7,2929,290,32.38,76,75,87,Motor and Tyres
12.5,84.26,2864,285,33.84,76,72,85,Motor and Tyres
12.37,80.19,3298,281,35.08,62,68,82,Motor and Lubrication
12.51,83.31,3283,298,31.8,66,66,89,Motor and Lubrication
12.22,79.55,2815,288,32.79,69,66,90,Tyres and Lubrication
12.63,80.03,2811,277,32.39,72,67,88,Brake System and Lubrication
12.19,78.38,2970,271,32.78,74,72,84,Tyres
12.15,83.08,2952,284,32.99,70,62,80,Tyres and Lubrication
12.44,84.57,3267,270,32.95,63,74,82,Brake System and Lubrication
12.52,81.99,3220,284,31.58,74,69,84,Brake System and Lubrication
12.67,82.81,3212,256,31.15,73,63,82,Brake System and Lubrication
12.32,76.16,3190,280,33.67,77,75,85,Tyres and Brake System
12.13,80.22,3267,267,33.86,68,73,80,Brake System and Lubrication
12.6,78.85,3113,266,32.92,69,61,82,No Maintenance Required
12.49,81.37,3197,275,35.89,76,72,78,Motor and Tyres
12.11,80.38,3269,264,32.95,60,73,90,Motor and Tyres
12.77,80.64,2816,295,32.98,78,64,85,No Maintenance Required
12.41,79.59,3004,260,31.62,71,73,80,Motor and Lubrication
12.48,83.94,3085,257,35.23,61,63,82,Tyres
12.74,78.63,3049,256,34.07,75,72,86,Motor and Tyres
12.29,77.23,3275,264,33.38,69,60,80,Battery
12.22,80.92,2899,285,34.95,71,74,90,Motor and Tyres
12.86,77.95,2894,269,34.93,65,60,78,Tyres and Brake System
12.67,77.56,2890,268,33.96,69,66,89,Motor and Tyres
12.89,80.88,3182,261,35.74,61,71,82,Battery
12.75,84.55,2913,274,32.38,72,61,78,Battery
12.83,79.88,3201,298,31.01,70,63,82,Motor and Lubrication
12.85,76.01,3294,263,34.58,64,62,78,Motor and Lubrication
12.15,83.6,2912,286,36.55,63,68,85,Motor and Tyres
12.84,84.92,2910,299,31.41,71,70,87,Brake System and Lubrication
12.14,84.78,3125,254,30.17,62,69,78,Tyres and Brake System
12.46,76.6,2864,265,36.71,68,62,90,Tyres and Lubrication
12.67,75.25,3169,295,35.36,70,75,83,Motor and Lubrication
12.54,82.97,2825,290,35.51,62,75,87,No Maintenance Required
12.15,79.32,3207,256,32.59,79,72,81,Battery
12.68,83.13,2892,260,35.28,74,65,83,Tyres and Lubrication
12.41,75.25,3109,260,31.4,69,67,79,Tyres
12.29,83.14,2805,262,30.24,68,65,83,Battery
12.23,84.16,2962,273,34.37,76,72,88,Tyres and Brake System
12.31,81.14,3014,288,30.69,74,67,85,Tyres
12.5,76.83,3041,283,33.25,78,74,88,Tyres and Brake System
12.36,80.26,3036,251,30.3,72,63,84,Tyres
12.74,79.51,3040,264,31.27,68,60,89,Tyres and Lubrication
12.11,81.53,3083,264,33.92,79,60,86,Tyres and Lubrication
12.59,82.69,2841,279,35.91,64,71,82,No Maintenance Required
12.88,79.96,3145,294,33.26,64,66,89,Motor and Tyres
12.5,77.73,3134,250,32.29,66,61,89,Motor and Tyres
12.77,83.06,3070,273,34.4,66,69,79,No Maintenance Required
12.3,75.51,2881,258,34.37,69,60,82,Tyres
12.72,78.1,3000,272,31.32,67,62,89,Motor and Lubrication
12.63,83.28,2974,273,34.34,75,62,89,Motor and Lubrication
12.47,84.9,3056,252,30.72,65,61,78,No Maintenance Required
12.8,84.65,2982,289,35.29,63,64,86,Brake System and Lubrication
12.49,76.87,3276,282,36.38,71,74,81,Tyres and Lubrication
12.34,78.79,3241,286,31.37,65,69,82,Battery
12.52,76.12,2925,273,35.49,64,73,82,No Maintenance Required
12.55,76.43,3095,264,34.2,60,69,82,Motor and Tyres
12.56,84.67,3087,283,35.27,73,62,87,Brake System and Lubrication
12.69,83.61,2945,292,31.83,75,69,82,Motor and Lubrication
12.19,78.54,3065,285,36.93,75,68,86,Tyres and Lubrication
12.15,83.32,2848,280,36.58,78,63,88,Battery
12.15,80.1,2882,282,34.82,77,73,89,Tyres
12.16,75.67,3087,258,33.58,76,62,90,Tyres and Lubrication
12.76,84.15,2990,285,30.04,64,63,87,Motor and Tyres
12.86,80.27,3037,251,35.59,78,75,88,Tyres
12.4,81.57,3077,281,34.49,69,62,80,Tyres and Brake System
12.31,84.57,3172,294,31.8,70,72,88,Motor and Lubrication
12.58,77.97,2893,278,35.64,64,60,81,Motor and Tyres
12.39,77.1,3222,298,32.63,62,75,79,Tyres and Lubrication
12.87,81.21,2864,260,33.69,68,66,82,No Maintenance Required
12.41,83.43,3194,284,31.48,74,69,85,Battery
12.71,76.99,3115,253,31.65,62,66,89,Brake System and Lubrication
12.42,78.97,3250,293,35.92,61,74,90,Motor and Tyres
12.77,81.73,2927,274,35.32,69,68,78,Tyres
12.73,82.98,2879,299,35.68,63,75,81,No Maintenance Required
12.43,83.49,2842,298,30.08,69,67,80,No Maintenance Required
12.34,83.5,2996,296,34.47,62,72,85,No Maintenance Required
12.84,81.12,2814,261,35.65,74,65,90,Tyres
12.5,78.08,3136,256,31.43,68,74,79,No Maintenance Required
12.84,76.77,3130,263,30.43,68,74,87,Motor and Lubrication
12.66,79.68,2943,289,33.0,72,74,80,Tyres and Lubrication
12.36,80.42,3282,280,34.95,60,71,87,No Maintenance Required
12.78,84.7,3109,282,33.21,79,71,81,Motor and Tyres
12.57,81.44,2820,271,31.04,74,74,90,Tyres and Brake System
12.76,81.6,3239,274,32.08,70,73,87,Tyres
12.21,82.29,2829,271,34.25,78,70,88,Brake System and Lubrication
12.32,78.52,3237,259,31.48,63,70,86,Tyres and Lubrication
12.78,83.71,3205,293,35.21,72,63,87,No Maintenance Required
12.51,82.37,3059,275,34.39,63,68,79,Brake System and Lubrication
12.15,83.61,3191,294,30.66,79,65,78,Tyres
12.85,80.68,3043,264,35.94,68,74,78,Tyres and Brake System
12.7,79.69,2938,285,33.91,64,66,80,No Maintenance Required
12.9,78.5,3151,262,31.65,69,69,79,Tyres and Brake System
12.56,78.59,2852,285,35.32,74,73,87,Brake System and Lubrication
